Well,GFP,Strain,Plant,Leaf,Date,Machine,Unique_plant_ID,Puncher,Date,GFP
C11,612151,WT,5,Top,2022_08_08,SB3,Plant_5_2022_08_08,Mitch,2022_08_08,612151
C12,339715,WT,5,Top,2022_08_08,SB3,Plant_5_2022_08_08,Mitch,2022_08_08,339715
D1,375677,WT,5,Bottom,2022_08_08,SB3,Plant_5_2022_08_08,Mitch,2022_08_08,375677
D2,368534,WT,5,Bottom,2022_08_08,SB3,Plant_5_2022_08_08,Mitch,2022_08_08,368534
D3,244926,WT,5,Bottom,2022_08_08,SB3,Plant_5_2022_08_08,Mitch,2022_08_08,244926
D4,157530,WT,5,Bottom,2022_08_08,SB3,Plant_5_2022_08_08,Mitch,2022_08_08,157530
D5,279825,WT,6,Top,2022_08_08,SB3,Plant_6_2022_08_08,Mitch,2022_08_08,279825
D6,320838,WT,6,Top,2022_08_08,SB3,Plant_6_2022_08_08,Mitch,2022_08_08,320838
D7,271829,WT,6,Top,2022_08_08,SB3,Plant_6_2022_08_08,Mitch,2022_08_08,271829
D8,280878,WT,6,Top,2022_08_08,SB3,Plant_6_2022_08_08,Mitch,2022_08_08,280878
D9,379625,WT,6,Bottom,2022_08_08,SB3,Plant_6_2022_08_08,Mitch,2022_08_08,379625
D10,423557,WT,6,Bottom,2022_08_08,SB3,Plant_6_2022_08_08,Mitch,2022_08_08,423557
D11,254351,WT,6,Bottom,2022_08_08,SB3,Plant_6_2022_08_08,Mitch,2022_08_08,254351
D12,346098,WT,6,Bottom,2022_08_08,SB3,Plant_6_2022_08_08,Mitch,2022_08_08,346098
E1,166379,WT,7,Top,2022_08_08,SB3,Plant_7_2022_08_08,Mitch,2022_08_08,166379
E2,401787,WT,7,Top,2022_08_08,SB3,Plant_7_2022_08_08,Mitch,2022_08_08,401787
E3,549537,WT,7,Top,2022_08_08,SB3,Plant_7_2022_08_08,Mitch,2022_08_08,549537
E4,366669,WT,7,Top,2022_08_08,SB3,Plant_7_2022_08_08,Mitch,2022_08_08,366669
E5,88122,WT,7,Bottom,2022_08_08,SB3,Plant_7_2022_08_08,Mitch,2022_08_08,88122
E6,279649,WT,7,Bottom,2022_08_08,SB3,Plant_7_2022_08_08,Mitch,2022_08_08,279649
E7,23264,WT,7,Bottom,2022_08_08,SB3,Plant_7_2022_08_08,Mitch,2022_08_08,23264
E8,255828,WT,7,Bottom,2022_08_08,SB3,Plant_7_2022_08_08,Mitch,2022_08_08,255828
E9,426722,WT,8,Top,2022_08_08,SB3,Plant_8_2022_08_08,Mitch,2022_08_08,426722
E10,421724,WT,8,Top,2022_08_08,SB3,Plant_8_2022_08_08,Mitch,2022_08_08,421724
E11,393934,WT,8,Top,2022_08_08,SB3,Plant_8_2022_08_08,Mitch,2022_08_08,393934
E12,404106,WT,8,Top,2022_08_08,SB3,Plant_8_2022_08_08,Mitch,2022_08_08,404106
F1,111827,WT,8,Bottom,2022_08_08,SB3,Plant_8_2022_08_08,Mitch,2022_08_08,111827
F2,134764,WT,8,Bottom,2022_08_08,SB3,Plant_8_2022_08_08,Mitch,2022_08_08,134764
F3,372791,WT,8,Bottom,2022_08_08,SB3,Plant_8_2022_08_08,Mitch,2022_08_08,372791
F4,231875,WT,8,Bottom,2022_08_08,SB3,Plant_8_2022_08_08,Mitch,2022_08_08,231875
A1,651387,WT,1,Top,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,651387
A2,1121389,WT,1,Top,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,1121389
A3,688325,WT,1,Top,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,688325
A4,673891,WT,1,Top,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,673891
A5,294197,WT,1,Bottom,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,294197
A6,412545,WT,1,Bottom,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,412545
A7,414522,WT,1,Bottom,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,414522
A8,475514,WT,1,Bottom,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,475514
A9,517889,WT,2,Top,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,517889
A10,381892,WT,2,Top,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,381892
A11,565949,WT,2,Top,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,565949
A12,579217,WT,2,Top,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,579217
B1,208113,WT,2,Bottom,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,208113
B2,138084,WT,2,Bottom,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,138084
B3,295204,WT,2,Bottom,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,295204
B4,181693,WT,2,Bottom,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,181693
B5,553133,WT,3,Top,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,553133
B6,479524,WT,3,Top,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,479524
B7,478585,WT,3,Top,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,478585
B8,456231,WT,3,Top,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,456231
B9,388909,WT,3,Bottom,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,388909
B10,345044,WT,3,Bottom,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,345044
B11,312218,WT,3,Bottom,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,312218
B12,330591,WT,3,Bottom,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,330591
C1,488651,WT,4,Top,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,488651
C2,485382,WT,4,Top,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,485382
C3,448550,WT,4,Top,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,448550
C4,458536,WT,4,Top,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,458536
C5,106777,WT,4,Bottom,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,106777
C6,197873,WT,4,Bottom,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,197873
C7,334474,WT,4,Bottom,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,334474
C8,244748,WT,4,Bottom,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,244748
C9,334640,WT,5,Top,2022_06_06,SB3,Plant_5_2022_06_06,Mitch,2022_06_06,334640
C10,393255,WT,5,Top,2022_06_06,SB3,Plant_5_2022_06_06,Mitch,2022_06_06,393255
C11,377224,WT,5,Top,2022_06_06,SB3,Plant_5_2022_06_06,Mitch,2022_06_06,377224
C12,342323,WT,5,Top,2022_06_06,SB3,Plant_5_2022_06_06,Mitch,2022_06_06,342323
D1,65671,WT,5,Bottom,2022_06_06,SB3,Plant_5_2022_06_06,Mitch,2022_06_06,65671
D2,166742,WT,5,Bottom,2022_06_06,SB3,Plant_5_2022_06_06,Mitch,2022_06_06,166742
D3,158807,WT,5,Bottom,2022_06_06,SB3,Plant_5_2022_06_06,Mitch,2022_06_06,158807
D4,86517,WT,5,Bottom,2022_06_06,SB3,Plant_5_2022_06_06,Mitch,2022_06_06,86517
F5,799,Leaf,1,Top,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,799
F6,696,Leaf,1,Top,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,696
F7,700,Leaf,1,Top,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,700
F8,752,Leaf,1,Top,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,752
F9,702,Leaf,1,Bottom,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,702
F10,729,Leaf,1,Bottom,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,729
F11,680,Leaf,1,Bottom,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,680
F12,679,Leaf,1,Bottom,2022_06_06,SB3,Plant_1_2022_06_06,Mitch,2022_06_06,679
G1,628,Leaf,2,Top,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,628
G2,548,Leaf,2,Top,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,548
G3,574,Leaf,2,Top,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,574
G4,576,Leaf,2,Top,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,576
G5,579,Leaf,2,Bottom,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,579
G6,609,Leaf,2,Bottom,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,609
G7,626,Leaf,2,Bottom,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,626
G8,659,Leaf,2,Bottom,2022_06_06,SB3,Plant_2_2022_06_06,Mitch,2022_06_06,659
G9,671,Leaf,3,Top,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,671
G10,614,Leaf,3,Top,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,614
G11,641,Leaf,3,Top,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,641
G12,642,Leaf,3,Top,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,642
H1,610,Leaf,3,Bottom,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,610
H2,637,Leaf,3,Bottom,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,637
H3,628,Leaf,3,Bottom,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,628
H4,599,Leaf,3,Bottom,2022_06_06,SB3,Plant_3_2022_06_06,Mitch,2022_06_06,599
H5,554,Leaf,4,Top,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,554
H6,582,Leaf,4,Top,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,582
H7,559,Leaf,4,Top,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,559
H8,595,Leaf,4,Top,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,595
H9,897,Leaf,4,Bottom,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,897
H10,834,Leaf,4,Bottom,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,834
H11,814,Leaf,4,Bottom,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,814
H12,866,Leaf,4,Bottom,2022_06_06,SB3,Plant_4_2022_06_06,Mitch,2022_06_06,866
A1,376940,WT,1,Top,2022_06_13,SB3,Plant_1_2022_06_13,Mitch,2022_06_13,376940
A2,268784,WT,1,Top,2022_06_13,SB3,Plant_1_2022_06_13,Mitch,2022_06_13,268784
A3,400582,WT,1,Top,2022_06_13,SB3,Plant_1_2022_06_13,Mitch,2022_06_13,400582
A4,307829,WT,1,Top,2022_06_13,SB3,Plant_1_2022_06_13,Mitch,2022_06_13,307829
A5,570118,WT,1,Bottom,2022_06_13,SB3,Plant_1_2022_06_13,Mitch,2022_06_13,570118
A6,415447,WT,1,Bottom,2022_06_13,SB3,Plant_1_2022_06_13,Mitch,2022_06_13,415447
A7,468338,WT,1,Bottom,2022_06_13,SB3,Plant_1_2022_06_13,Mitch,2022_06_13,468338
A8,421321,WT,1,Bottom,2022_06_13,SB3,Plant_1_2022_06_13,Mitch,2022_06_13,421321
A9,448837,WT,2,Top,2022_06_13,SB3,Plant_2_2022_06_13,Mitch,2022_06_13,448837
A10,449269,WT,2,Top,2022_06_13,SB3,Plant_2_2022_06_13,Mitch,2022_06_13,449269
A11,467783,WT,2,Top,2022_06_13,SB3,Plant_2_2022_06_13,Mitch,2022_06_13,467783
A12,487377,WT,2,Top,2022_06_13,SB3,Plant_2_2022_06_13,Mitch,2022_06_13,487377
B1,182113,WT,2,Bottom,2022_06_13,SB3,Plant_2_2022_06_13,Mitch,2022_06_13,182113
B2,288587,WT,2,Bottom,2022_06_13,SB3,Plant_2_2022_06_13,Mitch,2022_06_13,288587
B3,197957,WT,2,Bottom,2022_06_13,SB3,Plant_2_2022_06_13,Mitch,2022_06_13,197957
B4,131386,WT,2,Bottom,2022_06_13,SB3,Plant_2_2022_06_13,Mitch,2022_06_13,131386
B5,489152,WT,3,Top,2022_06_13,SB3,Plant_3_2022_06_13,Mitch,2022_06_13,489152
B6,453507,WT,3,Top,2022_06_13,SB3,Plant_3_2022_06_13,Mitch,2022_06_13,453507
B7,491032,WT,3,Top,2022_06_13,SB3,Plant_3_2022_06_13,Mitch,2022_06_13,491032
B8,281714,WT,3,Top,2022_06_13,SB3,Plant_3_2022_06_13,Mitch,2022_06_13,281714
B9,512635,WT,3,Bottom,2022_06_13,SB3,Plant_3_2022_06_13,Mitch,2022_06_13,512635
B10,508276,WT,3,Bottom,2022_06_13,SB3,Plant_3_2022_06_13,Mitch,2022_06_13,508276
B11,607716,WT,3,Bottom,2022_06_13,SB3,Plant_3_2022_06_13,Mitch,2022_06_13,607716
B12,637861,WT,3,Bottom,2022_06_13,SB3,Plant_3_2022_06_13,Mitch,2022_06_13,637861
C1,474585,WT,4,Top,2022_06_13,SB3,Plant_4_2022_06_13,Mitch,2022_06_13,474585
C2,649278,WT,4,Top,2022_06_13,SB3,Plant_4_2022_06_13,Mitch,2022_06_13,649278
C3,532503,WT,4,Top,2022_06_13,SB3,Plant_4_2022_06_13,Mitch,2022_06_13,532503
C4,697512,WT,4,Top,2022_06_13,SB3,Plant_4_2022_06_13,Mitch,2022_06_13,697512
C5,560567,WT,4,Bottom,2022_06_13,SB3,Plant_4_2022_06_13,Mitch,2022_06_13,560567
C6,492765,WT,4,Bottom,2022_06_13,SB3,Plant_4_2022_06_13,Mitch,2022_06_13,492765
C7,450121,WT,4,Bottom,2022_06_13,SB3,Plant_4_2022_06_13,Mitch,2022_06_13,450121
C8,547600,WT,4,Bottom,2022_06_13,SB3,Plant_4_2022_06_13,Mitch,2022_06_13,547600
C9,441791,WT,5,Top,2022_06_13,SB3,Plant_5_2022_06_13,Mitch,2022_06_13,441791
C10,435009,WT,5,Top,2022_06_13,SB3,Plant_5_2022_06_13,Mitch,2022_06_13,435009
C11,401050,WT,5,Top,2022_06_13,SB3,Plant_5_2022_06_13,Mitch,2022_06_13,401050
C12,530996,WT,5,Top,2022_06_13,SB3,Plant_5_2022_06_13,Mitch,2022_06_13,530996
D1,450948,WT,5,Bottom,2022_06_13,SB3,Plant_5_2022_06_13,Mitch,2022_06_13,450948
D2,573818,WT,5,Bottom,2022_06_13,SB3,Plant_5_2022_06_13,Mitch,2022_06_13,573818
D3,483950,WT,5,Bottom,2022_06_13,SB3,Plant_5_2022_06_13,Mitch,2022_06_13,483950
D4,406313,WT,5,Bottom,2022_06_13,SB3,Plant_5_2022_06_13,Mitch,2022_06_13,406313
A1,253239,WT,1,Top,2022_09_19,SB3,Plant_1_2022_09_19,Mitch,2022_09_19,253239
A2,198311,WT,1,Top,2022_09_19,SB3,Plant_1_2022_09_19,Mitch,2022_09_19,198311
A3,235952,WT,1,Top,2022_09_19,SB3,Plant_1_2022_09_19,Mitch,2022_09_19,235952
A4,208438,WT,1,Top,2022_09_19,SB3,Plant_1_2022_09_19,Mitch,2022_09_19,208438
A5,370471,WT,1,Bottom,2022_09_19,SB3,Plant_1_2022_09_19,Mitch,2022_09_19,370471
A6,437002,WT,1,Bottom,2022_09_19,SB3,Plant_1_2022_09_19,Mitch,2022_09_19,437002
A7,324598,WT,1,Bottom,2022_09_19,SB3,Plant_1_2022_09_19,Mitch,2022_09_19,324598
A8,377169,WT,1,Bottom,2022_09_19,SB3,Plant_1_2022_09_19,Mitch,2022_09_19,377169
A9,580718,WT,2,Top,2022_09_19,SB3,Plant_2_2022_09_19,Mitch,2022_09_19,580718
A10,358777,WT,2,Top,2022_09_19,SB3,Plant_2_2022_09_19,Mitch,2022_09_19,358777
A11,472118,WT,2,Top,2022_09_19,SB3,Plant_2_2022_09_19,Mitch,2022_09_19,472118
A12,584526,WT,2,Top,2022_09_19,SB3,Plant_2_2022_09_19,Mitch,2022_09_19,584526
B1,332714,WT,2,Bottom,2022_09_19,SB3,Plant_2_2022_09_19,Mitch,2022_09_19,332714
B2,285960,WT,2,Bottom,2022_09_19,SB3,Plant_2_2022_09_19,Mitch,2022_09_19,285960
B3,332386,WT,2,Bottom,2022_09_19,SB3,Plant_2_2022_09_19,Mitch,2022_09_19,332386
B4,111274,WT,2,Bottom,2022_09_19,SB3,Plant_2_2022_09_19,Mitch,2022_09_19,111274
