Unique_ID,Plant_CV,Experiment,Plant,Strain
Nineteen_21,0.400823712,Nineteen,21,GV3101
Nineteen_22,0.502603805,Nineteen,22,GV3101
Nineteen_23,0.340969342,Nineteen,23,GV3101
Nineteen_24,0.120309065,Nineteen,24,GV3101
Nineteen_25,0.395875118,Nineteen,25,GV3101
Nineteen_26,0.271234571,Nineteen,26,GV3101
Nineteen_27,0.165839778,Nineteen,27,GV3101
Nineteen_28,0.117884226,Nineteen,28,GV3101
Nineteen_29,0.348895617,Nineteen,29,GV3101
Nineteen_30,0.410270011,Nineteen,30,GV3101
Nineteen_31,0.230064646,Nineteen,31,GV3101
Nineteen_32,0.298144258,Nineteen,32,GV3101
Nineteen_33,0.317951678,Nineteen,33,GV3101
Nineteen_34,0.309019398,Nineteen,34,GV3101
Nineteen_35,0.201761429,Nineteen,35,GV3101
Nineteen_36,0.216170201,Nineteen,36,GV3101
Nineteen_37,0.23405028,Nineteen,37,GV3101
Nineteen_38,0.699597594,Nineteen,38,GV3101
Nineteen_39,0.300462642,Nineteen,39,GV3101
Nineteen_40,0.644107889,Nineteen,40,GV3101
Nineteen_41,0.369755055,Nineteen,41,GV3101
Nineteen_42,0.639946631,Nineteen,42,GV3101
Nineteen_43,0.316959177,Nineteen,43,GV3101
Nineteen_44,0.242084862,Nineteen,44,GV3101
Nineteen_45,0.30100903,Nineteen,45,GV3101
Nineteen_46,0.189949199,Nineteen,46,GV3101
Nineteen_47,0.264075006,Nineteen,47,GV3101
Nineteen_48,0.261885131,Nineteen,48,GV3101
Nineteen_49,0.269815581,Nineteen,49,GV3101
Nineteen_50,0.475143316,Nineteen,50,GV3101
Nineteen_51,0.279282573,Nineteen,51,GV3101
Nineteen_52,0.320933463,Nineteen,52,GV3101
Nineteen_53,0.404633191,Nineteen,53,GV3101
Nineteen_54,0.345203512,Nineteen,54,GV3101
Nineteen_55,0.177133042,Nineteen,55,GV3101
Nineteen_56,0.191154377,Nineteen,56,GV3101
Nineteen_57,0.247581857,Nineteen,57,GV3101
Nineteen_58,0.261407352,Nineteen,58,GV3101
Nineteen_59,0.401104015,Nineteen,59,GV3101
Nineteen_60,0.259741735,Nineteen,60,GV3101
Twenty_1,0.629976116,Twenty,1,EHA105
Twenty_2,0.22934874,Twenty,2,GV3101
Twenty_3,0.397198663,Twenty,3,EHA105
Twenty_4,0.241044025,Twenty,4,GV3101
Twenty_5,0.517962918,Twenty,5,EHA105
Twenty_6,0.270856057,Twenty,6,GV3101
Twenty_7,0.712140576,Twenty,7,EHA105
Twenty_8,0.143940931,Twenty,8,GV3101
Twenty_9,0.293253324,Twenty,9,EHA105
Twenty_10,0.228847909,Twenty,10,GV3101
Twenty_11,0.680206664,Twenty,11,EHA105
Twenty_12,0.103456103,Twenty,12,GV3101
Twenty_13,0.270771406,Twenty,13,EHA105
Twenty_14,0.246325777,Twenty,14,GV3101
Twenty_15,0.537018033,Twenty,15,EHA105
Twenty_16,0.225213299,Twenty,16,GV3101
Twenty_17,0.56745957,Twenty,17,EHA105
Twenty_18,0.183207199,Twenty,18,GV3101
Twenty_19,0.427526336,Twenty,19,EHA105
Twenty_20,0.23785312,Twenty,20,GV3101
Twenty_21,0.58587651,Twenty,21,EHA105
Twenty_22,0.326420294,Twenty,22,GV3101
Twenty_23,0.184166759,Twenty,23,EHA105
Twenty_24,0.285110834,Twenty,24,GV3101
Twentyone_1,0.55611275,Twentyone,1,EHA105
Twentyone_2,0.415600624,Twentyone,2,EHA105
Twentyone_3,0.279550597,Twentyone,3,EHA105
Twentyone_4,0.402390304,Twentyone,4,EHA105
Twentyone_5,0.289706326,Twentyone,5,EHA105
Twentyone_6,0.461810742,Twentyone,6,EHA105
Twentyone_7,0.227256426,Twentyone,7,EHA105
Twentyone_8,0.120058755,Twentyone,8,EHA105
Twentyone_9,0.722820491,Twentyone,9,EHA105
Twentyone_10,0.047419456,Twentyone,10,EHA105
Twentyone_11,0.115849105,Twentyone,11,EHA105
Twentyone_12,0.244871112,Twentyone,12,EHA105
Twentyone_13,0.748529968,Twentyone,13,EHA105
Twentyone_14,0.487943231,Twentyone,14,EHA105
Twentyone_15,0.651444763,Twentyone,15,EHA105
Twentyone_16,0.594573546,Twentyone,16,EHA105
Twentyone_17,0.422504149,Twentyone,17,EHA105
Twentyone_18,0.491093323,Twentyone,18,EHA105
Twentyone_19,0.379324041,Twentyone,19,EHA105
Twentyone_20,0.267760571,Twentyone,20,EHA105
Twentyone_21,0.546682755,Twentyone,21,EHA105
Twentyone_22,0.569476799,Twentyone,22,EHA105
Twentyone_23,0.257932173,Twentyone,23,EHA105
Twentyone_24,0.641561196,Twentyone,24,EHA105
Twentyone_25,0.952258181,Twentyone,25,EHA105
Twentyone_26,0.260004921,Twentyone,26,EHA105
Twentyone_27,0.617463654,Twentyone,27,EHA105
Twentyone_28,0.308818108,Twentyone,28,EHA105
Twentyone_29,0.417356572,Twentyone,29,EHA105
Twentyone_30,0.686713394,Twentyone,30,EHA105
Twentyone_31,0.685900735,Twentyone,31,EHA105
Twentyone_32,0.484918951,Twentyone,32,EHA105
Twentyone_33,0.534716406,Twentyone,33,EHA105
Twentyone_34,0.436195258,Twentyone,34,EHA105
Twentyone_35,0.77021325,Twentyone,35,EHA105
Twentyone_36,0.495982218,Twentyone,36,EHA105
Twentyone_37,0.507714416,Twentyone,37,EHA105
Twentyone_38,0.369556944,Twentyone,38,EHA105
Twentyone_39,0.354581851,Twentyone,39,EHA105
Twentyone_40,0.295020547,Twentyone,40,EHA105
Twentyone_41,0.630075444,Twentyone,41,EHA105
Twentyone_42,0.407877142,Twentyone,42,EHA105
Twentyone_43,0.456680044,Twentyone,43,EHA105
Twentyone_44,0.583602728,Twentyone,44,EHA105
Twentyone_45,0.421735473,Twentyone,45,EHA105
Twentyone_46,0.67295647,Twentyone,46,EHA105
Twentyone_47,0.486907032,Twentyone,47,EHA105
Twentyone_48,0.760424538,Twentyone,48,EHA105
Twentyone_49,0.254847767,Twentyone,49,EHA105
Twentyone_50,0.550410365,Twentyone,50,EHA105
Twentyone_51,0.211968009,Twentyone,51,EHA105
Twentyone_52,0.406461503,Twentyone,52,EHA105
Twentyone_53,0.715501617,Twentyone,53,EHA105
Twentyone_54,0.548220997,Twentyone,54,EHA105
Twentyone_55,0.267180628,Twentyone,55,EHA105
Twentyone_56,0.353825649,Twentyone,56,EHA105
Twentyone_57,0.909748041,Twentyone,57,EHA105
Twentyone_58,0.387085369,Twentyone,58,EHA105
Twentyone_59,0.614123672,Twentyone,59,EHA105
Twentyone_60,0.792034879,Twentyone,60,EHA105
Twentyone_61,0.549350441,Twentyone,61,EHA105
Twentyone_62,0.664607892,Twentyone,62,EHA105
Twentyone_63,0.788747314,Twentyone,63,EHA105
Twentyone_64,0.64523176,Twentyone,64,EHA105
Twentyone_65,0.343275746,Twentyone,65,EHA105
Twentyone_66,0.184526924,Twentyone,66,EHA105
Twentyone_67,0.464040909,Twentyone,67,EHA105
Twentyone_68,0.4994991,Twentyone,68,EHA105
Twentyone_69,0.525473909,Twentyone,69,EHA105
Twentyone_70,0.509037551,Twentyone,70,EHA105
Twentyone_71,1.153983607,Twentyone,71,EHA105
Twentyone_72,0.768763832,Twentyone,72,EHA105
Twentyone_73,0.397843646,Twentyone,73,EHA105
Twentyone_74,0.58623774,Twentyone,74,EHA105
Twentyone_75,0.550681307,Twentyone,75,EHA105
Twentyone_76,0.424248671,Twentyone,76,EHA105
Twentyone_77,0.500203758,Twentyone,77,EHA105
Twentyone_78,0.51559759,Twentyone,78,EHA105
Twentyone_79,0.585725202,Twentyone,79,EHA105
Twentyone_80,0.714528748,Twentyone,80,EHA105
Twentyone_81,0.395586063,Twentyone,81,EHA105
Twentyone_82,0.304165051,Twentyone,82,EHA105
Twentyone_83,0.362572361,Twentyone,83,EHA105
Twentyone_84,0.372239953,Twentyone,84,EHA105
Twentyone_85,0.563308537,Twentyone,85,EHA105
Twentyone_86,0.340486981,Twentyone,86,EHA105
Twentyone_87,0.641915952,Twentyone,87,EHA105
Twentyone_88,0.425394534,Twentyone,88,EHA105
Twentyone_89,0.310006636,Twentyone,89,EHA105
Twentyone_90,0.169929833,Twentyone,90,EHA105
Twentyone_91,0.126460387,Twentyone,91,EHA105
Twentyone_92,0.18025163,Twentyone,92,EHA105
Twentyone_93,0.243410012,Twentyone,93,EHA105
Twentyone_94,0.325983979,Twentyone,94,EHA105
Twentyone_95,0.550356577,Twentyone,95,EHA105
Twentyone_96,0.955992052,Twentyone,96,EHA105
Twentyone_97,0.589267291,Twentyone,97,EHA105
Twentyone_98,0.35496828,Twentyone,98,EHA105
Twentyone_99,0.352303889,Twentyone,99,EHA105
Twentyone_100,0.405115533,Twentyone,100,EHA105
Twentyone_101,0.391027479,Twentyone,101,EHA105
Twentyone_102,0.372621841,Twentyone,102,EHA105
Twentyone_103,0.432792444,Twentyone,103,EHA105
Twentyone_104,0.440856175,Twentyone,104,EHA105
Twentyone_105,0.348190259,Twentyone,105,EHA105
Twentyone_106,0.809740049,Twentyone,106,EHA105
Twentyone_107,0.225057667,Twentyone,107,EHA105
Twentyone_108,0.508489408,Twentyone,108,EHA105
Twentyone_109,0.573559701,Twentyone,109,EHA105
Twentyone_110,0.69986731,Twentyone,110,EHA105
Twentyone_111,0.429658522,Twentyone,111,EHA105
Twentyone_112,0.350225375,Twentyone,112,EHA105
Twentyone_113,0.804368681,Twentyone,113,EHA105
Twentyone_114,0.71704247,Twentyone,114,EHA105
Twentyone_115,0.289304907,Twentyone,115,EHA105
Twentyone_116,0.639336303,Twentyone,116,EHA105
Twentyone_117,0.543496954,Twentyone,117,EHA105
Twentyone_118,0.449204318,Twentyone,118,EHA105
Twentytwo_1,0.641400465,Twentytwo,1,EHA105
Twentytwo_2,0.377533576,Twentytwo,2,EHA105
Twentytwo_3,0.66515693,Twentytwo,3,EHA105
Twentytwo_4,0.353340732,Twentytwo,4,EHA105
Twentytwo_5,0.845080272,Twentytwo,5,EHA105
Twentytwo_6,0.221776244,Twentytwo,6,EHA105
Twentytwo_7,0.590150845,Twentytwo,7,EHA105
Twentytwo_8,0.706991331,Twentytwo,8,EHA105
Twentytwo_9,0.214074325,Twentytwo,9,EHA105
Twentytwo_10,0.697539281,Twentytwo,10,EHA105
Twentytwo_11,0.520773714,Twentytwo,11,EHA105
Twentytwo_12,0.320443262,Twentytwo,12,EHA105
Twentytwo_13,0.8248709,Twentytwo,13,EHA105
Twentytwo_14,0.631568819,Twentytwo,14,EHA105
Twentytwo_15,0.324160383,Twentytwo,15,EHA105
Twentytwo_16,0.60095494,Twentytwo,16,EHA105
Twentytwo_17,0.887143386,Twentytwo,17,EHA105
Twentytwo_18,0.413745488,Twentytwo,18,EHA105
Twentytwo_19,0.510803006,Twentytwo,19,EHA105
Twentytwo_20,0.49512826,Twentytwo,20,EHA105
Twentytwo_21,0.329389886,Twentytwo,21,EHA105
Twentytwo_22,0.542208433,Twentytwo,22,EHA105
Twentytwo_23,0.97691415,Twentytwo,23,EHA105
Twentytwo_24,0.406169203,Twentytwo,24,EHA105
Twentytwo_25,0.428507979,Twentytwo,25,EHA105
Twentytwo_26,0.343531389,Twentytwo,26,EHA105
Twentytwo_27,0.496143779,Twentytwo,27,EHA105
Twentytwo_28,0.992928657,Twentytwo,28,EHA105
Twentytwo_29,0.288393523,Twentytwo,29,EHA105
Twentytwo_30,0.796569771,Twentytwo,30,EHA105
Twentytwo_31,0.692262098,Twentytwo,31,EHA105
Twentytwo_32,0.393434364,Twentytwo,32,EHA105
Twentytwo_33,0.659707623,Twentytwo,33,EHA105
Twentytwo_34,0.65062456,Twentytwo,34,EHA105
Twentytwo_35,0.289635862,Twentytwo,35,EHA105
Twentytwo_36,0.574053671,Twentytwo,36,EHA105
Twentytwo_37,0.350732717,Twentytwo,37,EHA105
Twentytwo_38,0.467268256,Twentytwo,38,EHA105
Twentytwo_39,0.50257284,Twentytwo,39,EHA105
Twentytwo_40,0.302991476,Twentytwo,40,EHA105
Twentytwo_41,0.354307202,Twentytwo,41,EHA105
Twentytwo_42,0.40833592,Twentytwo,42,EHA105
Twentytwo_43,0.391529014,Twentytwo,43,EHA105
Twentytwo_44,1.086053896,Twentytwo,44,EHA105
Twentytwo_45,0.359975133,Twentytwo,45,EHA105
Twentytwo_46,0.382806064,Twentytwo,46,EHA105
Twentytwo_47,0.428743049,Twentytwo,47,EHA105
Twentytwo_48,0.459245278,Twentytwo,48,EHA105
Twentytwo_49,0.598798448,Twentytwo,49,EHA105
Twentytwo_50,0.239394072,Twentytwo,50,EHA105
Twentytwo_51,0.579706109,Twentytwo,51,EHA105
Twentytwo_52,0.423913286,Twentytwo,52,EHA105
Twentytwo_53,0.394633992,Twentytwo,53,EHA105
Twentytwo_54,0.343283513,Twentytwo,54,EHA105
Twentytwo_55,0.444228378,Twentytwo,55,EHA105
Twentytwo_56,0.616984728,Twentytwo,56,EHA105
Twentytwo_57,0.645846113,Twentytwo,57,EHA105
Twentytwo_58,0.473969888,Twentytwo,58,EHA105
Twentytwo_59,0.706977887,Twentytwo,59,EHA105
Twentytwo_60,0.258306291,Twentytwo,60,EHA105
Twentytwo_61,0.774705153,Twentytwo,61,EHA105
Twentytwo_62,0.682412531,Twentytwo,62,EHA105
Twentytwo_63,0.918534706,Twentytwo,63,EHA105
Twentytwo_64,0.771597711,Twentytwo,64,EHA105
Twentytwo_65,1.025057421,Twentytwo,65,EHA105
Twentytwo_66,0.722822913,Twentytwo,66,EHA105
Twentytwo_67,0.773668502,Twentytwo,67,EHA105
Twentytwo_68,0.657944754,Twentytwo,68,EHA105
Twentytwo_69,0.790301123,Twentytwo,69,EHA105
Twentytwo_70,0.581936089,Twentytwo,70,EHA105
Twentytwo_71,0.564193984,Twentytwo,71,EHA105
Twentytwo_72,0.40932175,Twentytwo,72,EHA105
Twentytwo_73,0.471520888,Twentytwo,73,EHA105
Twentytwo_74,0.128172032,Twentytwo,74,EHA105
Twentytwo_75,0.786827255,Twentytwo,75,EHA105
Twentytwo_76,0.389771007,Twentytwo,76,EHA105
Twentytwo_77,0.702266428,Twentytwo,77,EHA105
Twentytwo_78,1.158518697,Twentytwo,78,EHA105
Twentytwo_79,0.244461571,Twentytwo,79,EHA105
Twentytwo_80,0.491181197,Twentytwo,80,EHA105
Twentytwo_81,0.523497082,Twentytwo,81,EHA105
Twentytwo_82,0.333163553,Twentytwo,82,EHA105
Twentytwo_83,0.434295884,Twentytwo,83,EHA105
Twentytwo_84,0.48387566,Twentytwo,84,EHA105
Twentytwo_85,0.549961297,Twentytwo,85,EHA105
Twentytwo_86,0.485210145,Twentytwo,86,EHA105
Twentytwo_87,0.984557867,Twentytwo,87,EHA105
Twentytwo_88,0.455324832,Twentytwo,88,EHA105
Twentytwo_89,0.352958555,Twentytwo,89,EHA105
Twentytwo_90,0.709872649,Twentytwo,90,EHA105
Twentytwo_91,0.875649538,Twentytwo,91,EHA105
Twentytwo_92,0.415957856,Twentytwo,92,EHA105
Twentytwo_93,0.565489994,Twentytwo,93,EHA105
Twentytwo_94,0.397110064,Twentytwo,94,EHA105
Twentytwo_95,0.918213808,Twentytwo,95,EHA105
Twentytwo_96,0.9047102,Twentytwo,96,EHA105
Twentytwo_97,0.300229425,Twentytwo,97,EHA105
Twentythree_1,0.280579257,Twentythree,1,EHA105
Twentythree_2,0.166407147,Twentythree,2,EHA105
Twentythree_3,0.645072693,Twentythree,3,EHA105
Twentythree_4,0.359023469,Twentythree,4,EHA105
Twentythree_5,0.288115461,Twentythree,5,EHA105
Twentythree_6,0.263065204,Twentythree,6,EHA105
Twentythree_7,0.250622026,Twentythree,7,EHA105
Twentythree_8,0.451020077,Twentythree,8,EHA105
Twentythree_9,0.495634826,Twentythree,9,EHA105
Twentythree_10,0.210576785,Twentythree,10,EHA105
Twentythree_11,0.323368386,Twentythree,11,EHA105
Twentythree_12,0.193795392,Twentythree,12,EHA105
Twentythree_13,0.5001977,Twentythree,13,EHA105
Twentythree_14,0.491983473,Twentythree,14,EHA105
Twentythree_15,0.509270799,Twentythree,15,EHA105
Twentythree_16,0.55003029,Twentythree,16,EHA105
Twentythree_17,0.355866038,Twentythree,17,EHA105
Twentythree_18,0.343896395,Twentythree,18,EHA105
Twentythree_19,0.594616513,Twentythree,19,EHA105
Twentythree_20,0.390700584,Twentythree,20,EHA105
Twentythree_21,0.537250942,Twentythree,21,EHA105
Twentythree_22,0.219567484,Twentythree,22,EHA105
Twentythree_23,0.26472489,Twentythree,23,EHA105
Twentythree_24,0.279009232,Twentythree,24,EHA105
Twentythree_25,0.137129501,Twentythree,25,EHA105
Twentythree_26,0.242789054,Twentythree,26,EHA105
Twentythree_27,0.243217894,Twentythree,27,EHA105
Twentythree_28,0.485445431,Twentythree,28,EHA105
Twentythree_29,0.656683229,Twentythree,29,EHA105
Twentythree_30,0.354025469,Twentythree,30,EHA105
Twentythree_31,0.274812838,Twentythree,31,EHA105
Twentythree_32,0.448029588,Twentythree,32,EHA105
Twentythree_33,0.254707821,Twentythree,33,EHA105
Twentythree_34,0.313281344,Twentythree,34,EHA105
Twentythree_35,0.177886332,Twentythree,35,EHA105
Twentythree_36,0.312783099,Twentythree,36,EHA105
Twentythree_37,0.341897447,Twentythree,37,EHA105
Twentythree_38,0.251941321,Twentythree,38,EHA105
Twentythree_39,0.261063184,Twentythree,39,EHA105
Twentythree_40,0.364733178,Twentythree,40,EHA105
Twentythree_41,0.422161422,Twentythree,41,EHA105
Twentythree_42,0.222849616,Twentythree,42,EHA105
Twentythree_43,0.473172307,Twentythree,43,EHA105
Twentythree_44,0.501915234,Twentythree,44,EHA105
Twentythree_45,0.361805588,Twentythree,45,EHA105
Twentythree_46,0.639509635,Twentythree,46,EHA105
Twentythree_47,0.244445451,Twentythree,47,EHA105
Twentythree_48,0.215764664,Twentythree,48,EHA105
Twentythree_49,0.320787183,Twentythree,49,EHA105
Twentythree_50,0.140722232,Twentythree,50,EHA105
Twentythree_51,0.372971495,Twentythree,51,EHA105
Twentythree_52,0.196198841,Twentythree,52,EHA105
Twentythree_53,0.509342021,Twentythree,53,EHA105
Twentythree_54,0.42379318,Twentythree,54,EHA105
Twentythree_55,0.529422982,Twentythree,55,EHA105
Twentythree_56,0.210706824,Twentythree,56,EHA105
Twentythree_57,0.644773422,Twentythree,57,EHA105
Twentythree_58,0.1991345,Twentythree,58,EHA105
Twentythree_59,0.282420378,Twentythree,59,EHA105
Twentythree_60,0.601247654,Twentythree,60,EHA105
Twentythree_61,0.514653035,Twentythree,61,EHA105
Twentythree_62,0.304069634,Twentythree,62,EHA105
Twentythree_63,0.320186338,Twentythree,63,EHA105
Twentythree_64,0.25092865,Twentythree,64,EHA105
Twentythree_65,0.551867866,Twentythree,65,EHA105
Twentythree_66,0.202556038,Twentythree,66,EHA105
Twentythree_67,0.315151339,Twentythree,67,EHA105
Twentythree_68,0.217086495,Twentythree,68,EHA105
Twentythree_69,0.556336726,Twentythree,69,EHA105
Twentythree_70,0.41649277,Twentythree,70,EHA105
Twentythree_71,0.450591637,Twentythree,71,EHA105
Twentythree_72,0.154813295,Twentythree,72,EHA105
Twentythree_73,0.352046505,Twentythree,73,EHA105
Twentythree_74,0.427138119,Twentythree,74,EHA105
Twentythree_75,0.544453553,Twentythree,75,EHA105
Twentythree_76,0.399817063,Twentythree,76,EHA105
Twentythree_77,0.184235819,Twentythree,77,EHA105
Twentythree_78,0.264517699,Twentythree,78,EHA105
Twentythree_79,0.170063874,Twentythree,79,EHA105
Twentythree_80,0.434409085,Twentythree,80,EHA105
Twentyfour_1,0.418168849,Twentyfour,1,EHA105
Twentyfour_2,0.421757173,Twentyfour,2,EHA105
Twentyfour_3,0.444037814,Twentyfour,3,EHA105
Twentyfour_4,0.509654283,Twentyfour,4,EHA105
Twentyfour_5,0.380610388,Twentyfour,5,EHA105
Twentyfour_6,0.577207078,Twentyfour,6,EHA105
Twentyfour_7,0.6184832,Twentyfour,7,EHA105
Twentyfour_8,0.51673056,Twentyfour,8,EHA105
Twentyfour_9,0.590895651,Twentyfour,9,EHA105
Twentyfour_10,0.268077977,Twentyfour,10,EHA105
Twentyfour_11,0.5973453,Twentyfour,11,EHA105
Twentyfour_12,0.597746711,Twentyfour,12,EHA105
Twentyfour_13,0.474531066,Twentyfour,13,EHA105
Twentyfour_14,0.668575597,Twentyfour,14,EHA105
Twentyfour_15,0.539491251,Twentyfour,15,EHA105
Twentyfour_16,0.532716913,Twentyfour,16,EHA105
Twentyfour_17,0.402609775,Twentyfour,17,EHA105
Twentyfour_18,0.60550914,Twentyfour,18,EHA105
Twentyfour_19,0.727215608,Twentyfour,19,EHA105
Twentyfour_20,0.316355334,Twentyfour,20,EHA105
Twentyfour_21,0.231447631,Twentyfour,21,EHA105
Twentyfour_22,0.316300078,Twentyfour,22,EHA105
Twentyfour_23,0.363414441,Twentyfour,23,EHA105
Twentyfour_24,0.325760209,Twentyfour,24,EHA105
Twentyfour_25,0.653604035,Twentyfour,25,EHA105
Twentyfour_26,0.594242853,Twentyfour,26,EHA105
Twentyfour_27,0.649241875,Twentyfour,27,EHA105
Twentyfour_28,0.564947076,Twentyfour,28,EHA105
Twentyfour_29,0.34898349,Twentyfour,29,EHA105
Twentyfour_30,0.279344145,Twentyfour,30,EHA105
Twentyfour_31,0.774348562,Twentyfour,31,EHA105
Twentyfour_32,0.331531895,Twentyfour,32,EHA105
Twentyfour_33,0.651130735,Twentyfour,33,EHA105
Twentyfour_34,0.45654447,Twentyfour,34,EHA105
Twentyfour_35,0.523718063,Twentyfour,35,EHA105
Twentyfour_36,0.780840998,Twentyfour,36,EHA105
Twentyfour_37,0.611747672,Twentyfour,37,EHA105
Twentyfour_38,0.451971723,Twentyfour,38,EHA105
Twentyfour_39,0.573687024,Twentyfour,39,EHA105
Twentyfour_40,0.587569324,Twentyfour,40,EHA105
Twentyfour_41,0.959181967,Twentyfour,41,EHA105
Twentyfour_42,0.555852792,Twentyfour,42,EHA105
Twentyfour_43,0.601711084,Twentyfour,43,EHA105
Twentyfour_44,0.36816894,Twentyfour,44,EHA105
Twentyfour_45,0.290857103,Twentyfour,45,EHA105
Twentyfour_46,0.423974077,Twentyfour,46,EHA105
Twentyfour_47,0.423895903,Twentyfour,47,EHA105
Twentyfour_48,0.464084483,Twentyfour,48,EHA105
Twentyfour_49,0.343365878,Twentyfour,49,EHA105
Twentyfour_50,0.29823261,Twentyfour,50,EHA105
Twentyfour_51,0.390206467,Twentyfour,51,EHA105
Twentyfour_52,0.576379031,Twentyfour,52,EHA105
Twentyfour_53,0.475752411,Twentyfour,53,EHA105
Twentyfour_54,0.297125169,Twentyfour,54,EHA105
Twentyfour_55,0.347115204,Twentyfour,55,EHA105
Twentyfour_56,0.392943375,Twentyfour,56,EHA105
Twentyfour_57,0.3366661,Twentyfour,57,EHA105
Twentyfour_58,0.477211005,Twentyfour,58,EHA105
Twentyfour_59,0.436367307,Twentyfour,59,EHA105
Twentyfour_60,0.567583725,Twentyfour,60,EHA105
Twentyfour_61,0.184078875,Twentyfour,61,EHA105
Twentyfour_62,0.498262179,Twentyfour,62,EHA105
Twentyfour_63,0.323779279,Twentyfour,63,EHA105
Twentyfour_64,0.419666816,Twentyfour,64,EHA105
Twentyfour_65,0.344684359,Twentyfour,65,EHA105
Twentyfour_66,0.896187264,Twentyfour,66,EHA105
Twentyfour_67,0.269465307,Twentyfour,67,EHA105
Twentyfour_68,0.286171481,Twentyfour,68,EHA105
Twentyfour_69,0.635644014,Twentyfour,69,EHA105
Twentyfour_70,0.325381158,Twentyfour,70,EHA105
Twentyfour_71,0.414463365,Twentyfour,71,EHA105
Twentyfour_72,0.268046489,Twentyfour,72,EHA105
Twentyfour_73,0.431164443,Twentyfour,73,EHA105
Twentyfour_74,0.292690334,Twentyfour,74,EHA105
Twentyfour_75,0.644397036,Twentyfour,75,EHA105
Twentyfour_76,0.735690201,Twentyfour,76,EHA105
Twentyfour_77,0.777468864,Twentyfour,77,EHA105
Twentyfour_78,0.474584104,Twentyfour,78,EHA105
Twentyfour_79,0.284841489,Twentyfour,79,EHA105
Twentyfour_80,0.446934783,Twentyfour,80,EHA105
Twentyfour_81,0.28014025,Twentyfour,81,EHA105
Twentyfour_82,0.729806623,Twentyfour,82,EHA105
Twentyfour_83,0.330179954,Twentyfour,83,EHA105
Twentyfour_84,0.668048624,Twentyfour,84,EHA105
Twentyfour_85,0.495365617,Twentyfour,85,EHA105
Twentyfour_86,0.436453791,Twentyfour,86,EHA105
Twentyfour_87,0.342930327,Twentyfour,87,EHA105
Twentyfour_88,0.453527458,Twentyfour,88,EHA105
Twentyfour_89,0.62402136,Twentyfour,89,EHA105
Twentyfour_90,0.472811479,Twentyfour,90,EHA105
Twentyfour_91,0.391399469,Twentyfour,91,EHA105
Twentyfour_92,0.63128656,Twentyfour,92,EHA105
Twentyfour_93,0.213143062,Twentyfour,93,EHA105
Twentyfour_94,0.344038768,Twentyfour,94,EHA105
Twentyfour_95,0.259258675,Twentyfour,95,EHA105
Twentyfour_96,0.523731888,Twentyfour,96,EHA105
Twentyfour_97,0.462814328,Twentyfour,97,EHA105
Twentyfour_98,0.776578405,Twentyfour,98,EHA105
Twentyfour_99,0.669532784,Twentyfour,99,EHA105
Twentyfour_100,0.383135804,Twentyfour,100,EHA105
Twentyfour_101,0.661011466,Twentyfour,101,EHA105
Twentyfour_102,0.555795407,Twentyfour,102,EHA105
Twentyfour_103,0.229940555,Twentyfour,103,EHA105
Twentyfour_104,0.812588316,Twentyfour,104,EHA105
Twentyfour_105,0.559659781,Twentyfour,105,EHA105
Twentyfour_106,0.316519924,Twentyfour,106,EHA105
Twentyfour_107,0.467188711,Twentyfour,107,EHA105
Twentyfour_108,0.252316733,Twentyfour,108,EHA105
Twentyfour_109,0.507667931,Twentyfour,109,EHA105
Twentyfour_110,0.547300614,Twentyfour,110,EHA105
Twentyfour_111,0.457967639,Twentyfour,111,EHA105
Twentyfour_112,0.364562704,Twentyfour,112,EHA105
Twentyfour_113,0.730656688,Twentyfour,113,EHA105
Twentyfour_114,0.208360545,Twentyfour,114,EHA105
Twentyfour_115,0.23288637,Twentyfour,115,EHA105
Twentyfour_116,0.593778538,Twentyfour,116,EHA105
Twentyfive_1,0.534919044,Twentyfive,1,EHA105
Twentyfive_2,0.348955448,Twentyfive,2,EHA105
Twentyfive_3,0.368918484,Twentyfive,3,EHA105
Twentyfive_4,0.452405295,Twentyfive,4,EHA105
Twentyfive_5,0.34820149,Twentyfive,5,EHA105
Twentyfive_6,0.232040538,Twentyfive,6,EHA105
Twentyfive_7,0.216796165,Twentyfive,7,EHA105
Twentyfive_8,0.209356847,Twentyfive,8,EHA105
Twentyfive_9,0.150388959,Twentyfive,9,EHA105
Twentyfive_10,0.230785399,Twentyfive,10,EHA105
Twentyfive_11,0.129479662,Twentyfive,11,EHA105
Twentyfive_12,0.128813517,Twentyfive,12,EHA105
Twentyfive_13,0.348498853,Twentyfive,13,EHA105
Twentyfive_14,0.304431432,Twentyfive,14,EHA105
Twentyfive_15,0.209354658,Twentyfive,15,EHA105
Twentyfive_16,0.261300212,Twentyfive,16,EHA105
Twentyfive_17,0.144681246,Twentyfive,17,EHA105
Twentyfive_18,0.363208512,Twentyfive,18,EHA105
Twentyfive_19,0.399506949,Twentyfive,19,EHA105
Twentyfive_20,0.232098867,Twentyfive,20,EHA105
Twentyfive_21,0.473313645,Twentyfive,21,EHA105
Twentyfive_22,0.217934235,Twentyfive,22,EHA105
Twentyfive_23,0.355076443,Twentyfive,23,EHA105
Twentyfive_24,0.596084503,Twentyfive,24,EHA105
Twentyfive_25,0.437761533,Twentyfive,25,EHA105
Twentyfive_26,0.331561373,Twentyfive,26,EHA105
