,xs,EHA105,GV3101,best
910,182.62762762762762,2.494347287962892,2.0028452020845706,1.747091840007381
911,182.82282282282281,2.4936386210645423,2.0024456888748747,1.746793196232442
912,183.018018018018,2.492931666497908,2.0020471072923836,1.7464952403720686
913,183.2132132132132,2.492226418092607,2.0016494540900607,1.7461979700564387
914,183.4084084084084,2.4915228697077456,2.0012527260359096,1.745901382926583
915,183.6036036036036,2.490821015231745,2.0008569199128847,1.745605476634326
916,183.7987987987988,2.4901208485821695,2.000462032518805,1.7453102488422216
917,183.99399399399397,2.4894223637055477,2.0000680606662713,1.745015697223495
918,184.18918918918916,2.488725554577208,1.9996750011825775,1.744721819461979
919,184.38438438438436,2.4880304152011017,1.9992828509096274,1.7444286132520552
920,184.57957957957956,2.4873369396096394,1.9988916067038531,1.7441360762985947
921,184.77477477477476,2.4866451218635195,1.998501265436129,1.7438442063168973
922,184.96996996996995,2.4859549560515606,1.9981118239916902,1.7435530010326328
923,185.16516516516515,2.485266436290541,1.9977232792700497,1.743262458181783
924,185.36036036036035,2.4845795567250266,1.9973356281849188,1.7429725755105834
925,185.55555555555554,2.483894311527215,1.996948867664123,1.7426833507754633
926,185.75075075075074,2.4832106948967696,1.9965629946495247,1.742394781742991
927,185.94594594594594,2.4825287010606574,1.9961780060969414,1.7421068661898151
928,186.14114114114113,2.4818483242729927,1.9957938989760662,1.7418196019026086
929,186.33633633633633,2.4811695588148743,1.99541067027039,1.7415329866780123
930,186.53153153153153,2.4804923989942322,1.9950283169771232,1.7412470183225774
931,186.72672672672672,2.4798168391456663,1.9946468361071172,1.740961694652713
932,186.92192192192192,2.4791428736302956,1.9942662246847875,1.7406770134946283
933,187.11711711711712,2.4784704968355995,1.9938864797480371,1.7403929726842782
934,187.3123123123123,2.4777997031752674,1.9935075983481803,1.7401095700673093
935,187.50750750750748,2.477130487089045,1.9931295775498667,1.7398268034990063
936,187.70270270270268,2.476462843042585,1.9927524144310067,1.7395446708442368
937,187.89789789789788,2.4757967655272934,1.992376106082696,1.7392631699774
938,188.09309309309307,2.4751322490601844,1.992000649609143,1.7389822987823707
939,188.28828828828827,2.474469288183729,1.9916260421275926,1.7387020551524501
940,188.48348348348347,2.4738078774657097,1.991252280768256,1.7384224369903098
941,188.67867867867866,2.4731480114990743,1.9908793626742354,1.7381434422079431
942,188.87387387387386,2.4724896849017917,1.9905072850014538,1.7378650687266122
943,189.06906906906906,2.4718328923167046,1.990136044918582,1.7375873144767948
944,189.26426426426426,2.47117762841139,1.9897656396069683,1.7373101773981374
945,189.45945945945945,2.470523887878016,1.9893960662605672,1.7370336554394006
946,189.65465465465465,2.4698716654332,1.9890273220858692,1.7367577465584112
947,189.84984984984985,2.4692209558178684,1.9886594043018313,1.7364824487220114
948,190.04504504504504,2.4685717537971197,1.9882923101398078,1.7362077599060093
949,190.24024024024024,2.467924054160083,1.9879260368434806,1.73593367809513
950,190.4354354354354,2.4672778517197833,1.9875605816687907,1.7356602012829656
951,190.6306306306306,2.4666331413130047,1.9871959418838727,1.7353873274719283
952,190.8258258258258,2.4659899178001528,1.9868321147689842,1.735115054673199
953,191.021021021021,2.465348176065124,1.98646909761644,1.7348433809066843
954,191.2162162162162,2.464707911015169,1.9861068877305457,1.7345723042009626
955,191.4114114114114,2.4640691175807605,1.9857454824275311,1.7343018225932423
