total_plant_number,Promoter,Normalized
8,PCH4,Normalized
9,PCH5,Normalized
10,PCL1,Normalized
6,PCL2,Normalized
6,PCM1,Normalized
8,PCM2,Normalized
7,NA,Unnormalized
